7/18/2021 7:09:14 AM Se conecto con ip:213.94.53.10
7/18/2021 7:09:21 AM /TELEPLOC a x:13 Y:43 Map:1
7/18/2021 7:09:22 AM /TELEPLOC a x:13 Y:43 Map:1
7/18/2021 7:09:25 AM /TELEPLOC a x:13 Y:43 Map:1
7/18/2021 7:09:27 AM /TELEPLOC a x:13 Y:43 Map:1
7/18/2021 7:09:28 AM /TELEPLOC a x:13 Y:43 Map:1
7/18/2021 7:09:29 AM /TELEPLOC a x:13 Y:43 Map:1
7/18/2021 7:09:29 AM /TELEPLOC a x:13 Y:43 Map:1
7/18/2021 7:09:30 AM /TELEPLOC a x:13 Y:43 Map:1
7/18/2021 7:09:31 AM /TELEPLOC a x:13 Y:43 Map:1
7/18/2021 7:09:38 AM /TELEPLOC a x:13 Y:43 Map:1
7/18/2021 7:09:40 AM /TELEPLOC a x:13 Y:43 Map:1
7/18/2021 7:09:42 AM /TELEPLOC a x:13 Y:43 Map:1
7/18/2021 7:09:42 AM /TELEPLOC a x:13 Y:43 Map:1
7/18/2021 7:09:42 AM /TELEPLOC a x:13 Y:43 Map:1
7/18/2021 7:09:43 AM /TELEPLOC a x:13 Y:43 Map:1
7/18/2021 7:09:44 AM /TELEPLOC a x:13 Y:43 Map:1
7/18/2021 7:09:44 AM /TELEPLOC a x:13 Y:43 Map:1
7/18/2021 7:09:45 AM /TELEPLOC a x:13 Y:43 Map:1
7/18/2021 7:09:45 AM /TELEPLOC a x:13 Y:43 Map:1
7/18/2021 7:09:46 AM /TELEPLOC a x:13 Y:43 Map:1
7/18/2021 7:09:46 AM /TELEPLOC a x:13 Y:43 Map:1
7/18/2021 7:09:47 AM /TELEPLOC a x:13 Y:43 Map:1
7/18/2021 7:09:47 AM /TELEPLOC a x:13 Y:43 Map:1
7/18/2021 7:09:48 AM /TELEPLOC a x:13 Y:43 Map:1
7/18/2021 7:09:48 AM /TELEPLOC a x:13 Y:43 Map:1
7/18/2021 7:09:49 AM /TELEPLOC a x:13 Y:43 Map:1
7/18/2021 7:09:56 AM /TELEPLOC a x:13 Y:43 Map:1
7/18/2021 7:26:24 AM Se conecto con ip:213.94.53.10
7/18/2021 7:26:27 AM /TELEPLOC a x:0 Y:0 Map:1
7/18/2021 7:26:27 AM /TELEPLOC a x:0 Y:0 Map:1
7/18/2021 7:26:28 AM /TELEPLOC a x:0 Y:0 Map:1
7/18/2021 7:26:29 AM /TELEPLOC a x:0 Y:0 Map:1
7/18/2021 7:26:31 AM /TELEPLOC a x:0 Y:0 Map:1
7/18/2021 7:27:45 AM Se conecto con ip:213.94.53.10
7/18/2021 7:28:03 AM Transportó a el yind hacia Mapa1 X:222 Y:222
7/18/2021 7:28:05 AM /TELEPLOC a x:948 Y:968 Map:1
7/18/2021 7:28:05 AM /TELEPLOC a x:948 Y:968 Map:1
7/18/2021 7:28:06 AM /TELEPLOC a x:948 Y:968 Map:1
7/18/2021 7:28:07 AM /TELEPLOC a x:948 Y:968 Map:1
7/18/2021 7:28:07 AM /TELEPLOC a x:948 Y:968 Map:1
7/18/2021 7:28:08 AM /TELEPLOC a x:948 Y:968 Map:1
7/18/2021 7:28:09 AM /TELEPLOC a x:948 Y:968 Map:1
7/18/2021 7:28:12 AM /TELEPLOC a x:948 Y:968 Map:1
7/18/2021 7:28:16 AM /TELEPLOC a x:948 Y:968 Map:1
7/18/2021 7:31:43 AM Se conecto con ip:213.94.53.10
7/18/2021 7:31:46 AM /TELEPLOC a x:0 Y:0 Map:1
7/18/2021 7:31:47 AM /TELEPLOC a x:0 Y:0 Map:1
7/18/2021 7:31:48 AM /TELEPLOC a x:0 Y:0 Map:1
7/18/2021 7:31:49 AM /TELEPLOC a x:0 Y:0 Map:1
7/18/2021 7:31:50 AM /TELEPLOC a x:0 Y:0 Map:1
7/18/2021 7:31:52 AM /TELEPLOC a x:0 Y:0 Map:1
7/18/2021 7:31:57 AM /TELEPLOC a x:0 Y:0 Map:1
7/18/2021 7:33:12 AM /TELEPLOC a x:0 Y:0 Map:28
7/18/2021 7:33:12 AM /TELEPLOC a x:0 Y:0 Map:28
7/18/2021 7:33:13 AM /TELEPLOC a x:0 Y:0 Map:28
7/18/2021 7:33:52 AM /TELEPLOC a x:21 Y:21 Map:28
7/18/2021 7:33:52 AM /TELEPLOC a x:21 Y:21 Map:28
7/18/2021 7:33:53 AM /TELEPLOC a x:21 Y:21 Map:28
7/18/2021 7:33:54 AM /TELEPLOC a x:21 Y:21 Map:28
7/18/2021 7:35:08 AM /TELEPLOC a x:21 Y:21 Map:1
7/18/2021 7:35:09 AM /TELEPLOC a x:21 Y:21 Map:1
7/18/2021 7:35:10 AM /TELEPLOC a x:21 Y:21 Map:1
7/18/2021 1:46:59 PM Se conecto con ip:213.94.53.10
7/18/2021 1:47:05 PM /TELEPLOC a x:178 Y:1241 Map:1
7/18/2021 1:47:07 PM /TELEPLOC a x:178 Y:1241 Map:1
7/18/2021 1:47:08 PM /TELEPLOC a x:178 Y:1241 Map:1
7/18/2021 1:47:46 PM /TELEPLOC a x:147 Y:1229 Map:1
7/18/2021 1:47:47 PM /TELEPLOC a x:147 Y:1229 Map:1
7/18/2021 1:47:48 PM /TELEPLOC a x:147 Y:1229 Map:1
7/18/2021 1:47:49 PM /TELEPLOC a x:147 Y:1229 Map:1
7/18/2021 1:47:54 PM /TELEPLOC a x:147 Y:1229 Map:1
7/18/2021 1:47:58 PM /TELEPLOC a x:147 Y:1229 Map:1
7/18/2021 1:48:00 PM /TELEPLOC a x:147 Y:1229 Map:1
7/18/2021 1:48:21 PM /TELEPLOC a x:308 Y:869 Map:1
7/18/2021 1:48:22 PM /TELEPLOC a x:308 Y:869 Map:1
7/18/2021 1:48:22 PM /TELEPLOC a x:308 Y:869 Map:1
7/18/2021 1:48:23 PM /TELEPLOC a x:308 Y:869 Map:1
7/18/2021 1:48:23 PM /TELEPLOC a x:308 Y:869 Map:1
7/18/2021 1:48:24 PM /TELEPLOC a x:308 Y:869 Map:1
7/18/2021 1:48:24 PM /TELEPLOC a x:308 Y:869 Map:1
7/18/2021 1:48:25 PM /TELEPLOC a x:308 Y:869 Map:1
7/18/2021 1:48:28 PM /TELEPLOC a x:308 Y:869 Map:1
7/18/2021 1:48:30 PM /TELEPLOC a x:308 Y:869 Map:1
7/18/2021 1:48:30 PM /TELEPLOC a x:308 Y:869 Map:1
7/18/2021 1:48:31 PM /TELEPLOC a x:308 Y:869 Map:1
7/18/2021 1:48:32 PM /TELEPLOC a x:308 Y:869 Map:1
7/18/2021 1:48:33 PM /TELEPLOC a x:308 Y:869 Map:1
7/18/2021 1:48:34 PM /TELEPLOC a x:308 Y:869 Map:1
7/18/2021 1:48:35 PM /TELEPLOC a x:308 Y:869 Map:1
7/18/2021 1:48:36 PM /TELEPLOC a x:308 Y:869 Map:1
7/18/2021 1:48:44 PM /TELEPLOC a x:338 Y:232 Map:1
7/18/2021 1:48:44 PM /TELEPLOC a x:338 Y:232 Map:1
7/18/2021 1:48:45 PM /TELEPLOC a x:338 Y:232 Map:1
7/18/2021 1:48:46 PM /TELEPLOC a x:338 Y:232 Map:1
7/18/2021 1:48:48 PM /TELEPLOC a x:338 Y:232 Map:1
7/18/2021 1:48:49 PM /TELEPLOC a x:338 Y:232 Map:1
7/18/2021 1:48:50 PM /TELEPLOC a x:338 Y:232 Map:1
7/18/2021 1:48:51 PM /TELEPLOC a x:338 Y:232 Map:1
7/18/2021 1:48:52 PM /TELEPLOC a x:338 Y:232 Map:1
7/18/2021 1:49:12 PM /TELEPLOC a x:926 Y:1002 Map:1
7/18/2021 1:49:13 PM /TELEPLOC a x:926 Y:1002 Map:1
7/18/2021 1:49:29 PM /TELEPLOC a x:926 Y:1002 Map:1
7/18/2021 1:49:32 PM /TELEPLOC a x:926 Y:1002 Map:1
7/18/2021 1:49:33 PM /TELEPLOC a x:926 Y:1002 Map:1
7/18/2021 1:49:33 PM /TELEPLOC a x:926 Y:1002 Map:1
7/18/2021 1:49:34 PM /TELEPLOC a x:926 Y:1002 Map:1
7/18/2021 1:49:37 PM /TELEPLOC a x:841 Y:1363 Map:1
7/18/2021 1:49:38 PM /TELEPLOC a x:841 Y:1363 Map:1
7/18/2021 1:49:39 PM /TELEPLOC a x:841 Y:1363 Map:1
7/18/2021 1:49:39 PM /TELEPLOC a x:841 Y:1363 Map:1
7/18/2021 1:49:41 PM /TELEPLOC a x:841 Y:1363 Map:1
7/18/2021 1:49:44 PM /TELEPLOC a x:841 Y:1363 Map:1
7/18/2021 1:49:45 PM /TELEPLOC a x:841 Y:1363 Map:1
7/18/2021 1:49:46 PM /TELEPLOC a x:841 Y:1363 Map:1
7/18/2021 1:49:46 PM /TELEPLOC a x:841 Y:1363 Map:1
7/18/2021 1:49:47 PM /TELEPLOC a x:841 Y:1363 Map:1
7/18/2021 1:49:47 PM /TELEPLOC a x:841 Y:1363 Map:1
7/18/2021 1:49:48 PM /TELEPLOC a x:841 Y:1363 Map:1
7/18/2021 1:49:49 PM /TELEPLOC a x:841 Y:1363 Map:1
7/18/2021 1:49:49 PM /TELEPLOC a x:841 Y:1363 Map:1
7/18/2021 1:49:50 PM /TELEPLOC a x:841 Y:1363 Map:1
7/18/2021 1:49:50 PM /TELEPLOC a x:841 Y:1363 Map:1
7/18/2021 1:49:51 PM /TELEPLOC a x:841 Y:1363 Map:1
7/18/2021 1:49:52 PM /TELEPLOC a x:841 Y:1363 Map:1
7/18/2021 1:49:53 PM /TELEPLOC a x:841 Y:1363 Map:1
7/18/2021 1:49:59 PM /TELEPLOC a x:841 Y:1363 Map:1
7/18/2021 1:50:00 PM /TELEPLOC a x:841 Y:1363 Map:1
7/18/2021 1:50:01 PM /TELEPLOC a x:841 Y:1363 Map:1
7/18/2021 1:50:01 PM /TELEPLOC a x:841 Y:1363 Map:1
7/18/2021 1:50:02 PM /TELEPLOC a x:841 Y:1363 Map:1
7/18/2021 1:50:03 PM /TELEPLOC a x:841 Y:1363 Map:1
